Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.05,0.58,57.14,2.11,0.53,0.14,24.4,78.76,1.2,0.86,1.2,1.2,0.58,2.59,0.72,42.59,0.82,Alexandru Cicâldău,alexandru-cicaldau,,Konyaspor
0.05,0.67,58.33,1.53,0.38,0.14,37.91,82.71,0.81,0.19,2.29,2.82,0.67,5.11,1.19,58.93,1.62,Muammer Sarıkaya,muammer-sarikaya,,Çaykur Rizespor
0.05,0.61,65.0,0.52,0.14,0.05,44.88,84.91,0.66,0.09,4.48,2.64,1.65,4.86,1.46,58.52,1.65,Berat Ayberk Özdemir,berat-ayberk-ozdemir,,Trabzonspor
0.05,1.09,42.11,2.31,0.59,0.64,24.36,79.79,2.49,1.81,0.95,1.27,0.41,3.72,1.18,44.81,1.41,Miguel Cardoso,miguel-cardoso,,Kayserispor
0.04,1.05,73.53,0.67,0.08,0.08,36.85,87.09,0.25,0.04,1.81,1.64,0.5,4.12,0.97,55.76,1.51,Batista Mendy,batista-mendy,,Trabzonspor
0.04,0.22,42.86,0.97,0.11,0.15,54.85,88.89,0.75,0.11,3.82,2.36,1.42,4.27,0.86,51.5,1.76,Lucas Torreira,lucas-torreira,,Galatasaray
0.04,0.52,73.68,0.85,0.22,0.11,42.51,88.46,0.52,0.07,1.74,2.18,2.22,3.81,2.37,60.95,1.18,Richard Cândido,richard-candido,,Alanyaspor
0.04,1.28,48.61,0.62,0.11,0.29,26.75,79.16,0.99,0.55,1.2,2.04,1.64,5.58,0.58,56.9,2.26,Mustafa Eskihellaç,mustafa-eskihellac,,Gaziantep FK
0.0,1.23,78.38,1.06,0.17,0.08,49.2,84.72,1.19,0.17,2.42,2.8,1.74,5.31,2.25,55.11,1.27,İsmail Yüksek,ismail-yuksek,,Fenerbahçe
0.0,1.63,58.54,2.31,0.88,0.48,29.39,81.39,2.99,2.1,2.17,1.02,0.48,4.34,0.54,44.44,1.7,Ramzi Safuri,ramzi-safuri,,Antalyaspor
0.0,1.44,64.29,1.28,0.16,0.0,37.45,88.66,0.56,0.0,2.16,2.72,1.44,7.75,0.56,65.82,3.67,Badou Ndiaye,badou-ndiaye,,Pendikspor
0.0,0.54,66.67,0.2,0.07,0.4,55.64,87.17,1.48,1.21,4.56,1.28,0.94,2.89,1.21,53.98,1.07,Amir Hadžiahmetović,amir-hadziahmetovic,,Beşiktaş
0.0,1.11,43.33,0.6,0.0,0.17,29.06,83.91,1.63,0.6,0.26,2.14,0.77,4.11,1.11,47.29,0.94,Abdülkadir Ömür,abdulkadir-omur,,Trabzonspor
0.0,1.52,57.14,1.83,0.69,0.25,20.78,75.11,1.58,0.88,2.27,1.07,0.25,5.37,0.51,50.54,2.84,Emrah Başsan,emrah-bassan,,Sivasspor
0.0,0.26,62.5,0.68,0.05,0.21,49.1,86.41,0.74,0.37,3.52,1.31,0.63,2.94,1.1,49.36,1.37,Jakub Kałuziński,jakub-kaluzinski,,Antalyaspor
0.0,1.3,60.0,0.8,0.14,0.0,35.87,89.03,0.8,0.07,0.94,2.17,0.94,6.23,0.43,57.14,2.75,Édouard Michut,edouard-michut,,Adana Demirspor
0.0,0.94,58.33,0.67,0.13,0.09,30.01,80.72,0.99,0.27,2.15,2.78,0.18,6.14,0.4,58.87,2.46,Charis Charisis,charis-charisis,,Sivasspor
0.0,1.21,71.43,0.36,0.18,0.18,34.61,85.61,1.03,0.18,2.18,2.12,0.67,3.94,0.55,52.86,0.61,Arnaud Lusamba,arnaud-lusamba,,Pendikspor
0.0,1.78,58.18,0.78,0.22,0.17,34.77,79.31,1.56,0.78,1.84,1.33,0.5,4.39,0.44,43.28,1.28,Fredrik Midtsjø,fredrik-midtsjo,,Pendikspor
0.0,1.83,53.66,3.0,1.17,0.42,31.72,81.24,2.25,0.58,1.0,0.83,0.42,4.08,0.67,41.61,1.5,Tetê,tete,,Galatasaray
0.0,1.51,37.93,2.61,0.55,0.28,20.5,70.62,0.83,0.55,0.55,2.61,0.83,5.78,2.61,52.14,1.65,Oğulcan Çağlayan,ogulcan-caglayan,,Kasımpaşa
