Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
1.93,0.67,1.62,24.17,79.1,0.39,21.28,1.26,38.1,0.24,2.96,0.32,3.27,41.29,Yusuf Özdemir,yusuf-ozdemir,,Alanyaspor
2.11,1.44,2.79,21.52,65.5,0.43,16.67,2.93,32.8,0.24,2.98,1.58,4.56,51.08,Soner Gönül,soner-gonul,,Yılport Samsunspor
2.55,1.19,2.18,26.65,75.43,0.75,29.33,1.97,43.94,0.99,4.19,1.46,5.65,44.86,Gökhan Sazdağı,gokhan-sazdagi,,Kayserispor
1.21,0.92,1.5,32.16,83.77,0.58,22.64,1.98,50.62,0.43,2.08,0.87,2.95,44.2,Onur Bulut,onur-bulut,,Beşiktaş
1.92,1.35,2.71,23.8,70.81,0.23,8.33,1.47,28.26,0.9,3.61,0.68,4.29,57.58,Marc Bola,marc-bola,,Yılport Samsunspor
1.44,0.91,2.15,39.04,76.62,0.72,31.91,2.49,32.1,0.38,2.63,1.53,4.16,52.73,Lucas Lima,lucas-lima,,Başakşehir FK
1.72,0.79,0.5,25.1,75.11,0.43,13.95,0.79,36.67,1.72,4.59,1.22,5.81,49.09,David Sambissa,david-sambissa,,İstanbulspor
2.04,1.47,3.28,35.57,78.29,0.13,21.05,2.31,35.75,0.27,2.81,2.17,4.98,53.99,Yasin Özcan,yasin-ozcan,,Kasımpaşa
0.98,0.86,1.28,35.28,83.02,0.73,35.29,1.47,32.43,0.43,1.9,0.79,2.69,51.16,Matěj Hanousek,matej-hanousek,,MKE Ankaragücü
0.76,0.84,4.3,25.3,80.43,0.0,0.0,1.52,42.86,0.0,1.94,2.02,3.96,64.38,Sadık Çiftpınar,sadik-ciftpinar,,Kasımpaşa
0.86,0.96,1.82,33.91,81.71,0.29,15.79,2.31,50.0,0.1,1.25,1.73,2.98,62.0,Jens Stryger Larsen,jens-stryger-larsen,,Trabzonspor
1.03,1.23,3.1,52.26,85.71,0.0,0.0,3.25,46.81,0.1,2.26,1.87,4.13,53.16,Federico Ceccherini,federico-ceccherini,,Fatih Karagümrük
0.84,1.75,4.58,44.49,87.15,0.0,0.0,2.41,45.45,0.3,1.44,1.99,3.43,44.53,Arif Kocaman,kocaman-arif,,Kayserispor
1.29,0.29,4.09,36.34,78.45,0.0,0.0,3.59,42.37,0.14,2.51,2.87,5.39,54.35,Salih Dursun,salih-dursun,,Fatih Karagümrük
1.6,1.6,2.19,18.29,76.22,0.21,12.5,0.69,27.66,0.53,2.83,0.85,3.68,52.27,Salem M'Bakata,salem-mbakata,,Gaziantep FK
0.92,0.57,4.17,46.27,89.02,0.0,0.0,3.07,56.0,0.09,1.4,1.14,2.55,48.33,Joseph Attamah,joseph-attamah,,Kayserispor
1.47,1.26,2.73,19.04,75.98,0.42,30.0,0.98,42.42,0.49,3.01,0.84,3.85,52.38,Murat Paluli,murat-paluli,,Sivasspor
1.67,1.11,3.58,42.73,84.57,0.0,0.0,2.71,43.59,0.16,2.31,1.75,4.06,54.84,Burak Bekaroğlu,burak-bekaroglu,,Hatayspor
1.35,0.93,3.84,43.03,87.55,0.0,0.0,2.38,48.94,0.31,1.97,1.04,3.01,47.54,Mert Çetin,mert-cetin,,MKE Ankaragücü
2.17,1.86,3.64,30.64,76.45,0.08,14.29,2.94,40.86,0.15,4.18,1.47,5.65,54.48,Atakan Çankaya,atakan-cankaya,,MKE Ankaragücü
